,DC_mu_T5,DC_mu_P3,DC_mu_F3,DC_mu_F7,DC_mu_F8,DC_mu_F4,DC_mu_P4,DC_mu_T6,Pow1_mu_T5,Pow1_mu_P3,Pow1_mu_F3,Pow1_mu_F7,Pow1_mu_F8,Pow1_mu_F4,Pow1_mu_P4,Pow1_mu_T6,Pow2_mu_T5,Pow2_mu_P3,Pow2_mu_F3,Pow2_mu_F7,Pow2_mu_F8,Pow2_mu_F4,Pow2_mu_P4,Pow2_mu_T6
10,1.16424530208057,1.1100904546843828,1.1136404481663875,1.1346110013524449,1.061491727229307,1.0952834511052083,1.0450594138249536,1.0297294687462208,3.0204073346411917,2.7717324198618134,2.7657272402248174,2.805164721842996,2.678680413357033,2.677057598693463,2.677486090612019,2.6741313281338908,2.6294316992012656,2.7117399293948137,2.670779106903717,2.6606346165010715,2.6111562502374603,2.7429196046934248,2.6658318797749945,2.6142103479227137
11,1.1286681674070906,1.0874874793979197,1.0384904115688092,1.0819138067255516,1.076696685023539,1.1395726217947038,1.0100563817685717,1.0096834127900396,2.8859953176449484,2.7772390282472728,2.780525027919227,2.68776250847852,2.741402499098438,2.7495412333359965,2.6767455043836925,2.640087116768019,2.8891065016688917,3.0106391957732628,2.852572706134961,2.6740214334884094,2.9385792802278394,2.8706534039236624,2.723668981936949,2.5395418941939814
12,1.290495766959294,1.1224161852611845,1.092414778347606,1.093012737192538,1.2713428784297072,1.3427174429651494,1.1971099299609316,1.1100724671422504,3.015706867385719,2.9137055872880215,2.7962192472837937,2.6983243532653067,2.8611538166950483,2.8929507738182547,2.8623834946266014,2.8815743342362143,3.054828899948582,3.1621529836898192,3.2822330352764064,3.2284657606166123,3.1588390484561177,3.1977845249582124,3.1385080728044374,2.781414549913225
13,1.2152994922734826,1.0977490019940337,1.180587071076879,1.2716175256772615,1.3389709926753288,1.2213446140091135,1.142753051224244,1.0280792873884734,2.8873916490973754,2.701725106439236,2.5249317667649898,2.485490316020104,2.6337680006296047,2.5985367773952937,2.583019566143291,2.61390316250294,2.8704012099593954,2.7185883091705336,2.7976048470160424,2.987871260287056,3.2230569277789947,3.1135158351602716,3.0811357508511636,2.9340923712412166
14,0.9879084161401324,1.0142770205766585,0.9686071502118556,0.9896043595643828,1.0533280803435523,1.1244588911749085,1.0312130087714977,0.9906022665812836,2.5730147983970117,2.5396264254092014,2.432251627651422,2.4735487871049937,2.6147036922016427,2.69382771171148,2.5456907623426317,2.5540033417590298,2.3944163563448115,2.5411574071175496,2.3893097487436177,2.651815509980689,2.8820701467181795,2.8161562838877816,2.8713731689348174,2.7217295407530813
15,1.2222662186907278,1.073445263551402,1.0782427258195164,1.027191098597013,1.2195112832653183,1.26142792878465,1.1745278020567076,1.0794388686463,2.8404886239346783,2.782127128290746,2.7000316474470383,2.590012404290712,2.7406988797569096,2.8281566081392686,2.7598413643705726,2.770902549353864,2.8391214494767065,2.8606706334071332,3.053515207042199,2.8603517452134755,3.131932263343743,3.2996170442820434,3.2811314496123765,2.9164004197144164
16,1.22713393843077,1.1878936535752724,1.2644814632825292,1.2378480950659665,1.2100672495540918,1.204943829866916,1.0810491740742196,1.0417867259831746,2.9558921959750637,2.7312340198057496,2.6564624708315683,2.6583426390182585,2.7375363582404675,2.7276733710006025,2.688430906248437,2.6526148795776834,2.332288242980288,2.3596103206282235,2.3917665036828497,2.7126381753275406,2.8898861632964774,2.9481607485325085,2.7247613515067237,2.4339024033684127
17,1.1484852995812058,1.0788728628968072,1.0419378009526044,1.058777820979388,1.0418685885987715,1.0802021122812475,1.0014457673410022,0.9707399150966848,2.7103578178700354,2.6993630647489066,2.574384864563715,2.597612983037482,2.539759676353228,2.4419881884700376,2.476116549337212,2.525888894317076,2.6721807589454647,2.8339909450194503,2.667940374924209,2.850397484670419,3.1812376756287257,3.1174511245437233,2.8488701933716536,2.664492244038065
18,1.1477736029344796,1.0695108201257002,1.0469623982639693,1.0467709211419107,1.127227633415109,1.0936797874597757,1.0931837794733656,1.02547704494747,2.9624419990668835,2.8553883770843647,2.7781498142611687,2.7197369420949578,2.8555183674889815,2.7692498130446648,2.704895012028289,2.737127285670921,2.5866997906001195,2.436437893891909,2.5025727781201934,2.4713306412329024,2.867957578749905,2.881468121020882,2.6947299924037837,2.536273296970898
19,1.2898541071390082,1.0877406426353773,0.9874785883765548,1.067556190410009,1.3224904376034328,1.3636926114752337,1.2366176118686782,1.1662839968372465,2.8170570735133214,2.7444513098302505,2.5978665470219235,2.694839185988408,2.6616229294207603,2.6894933747209406,2.687786542759916,2.7240940030294816,2.777683158140679,2.5902590497353484,2.596493663846948,2.6407336899215097,2.909407190782127,2.7524975027678917,2.8874893643114574,2.6982005447379693
